datetime,ACC001_X,ACC001_Y,ACC001_Z,ACC002_Z,ACC003_Z,CAC001,CAC002,CAC003,CAC004,CAC005,CAC006,CAC007,CAC008,CAC009,CAC010,CAC011,CAC013,CAC014,CAC015,CAC016,CAC017,CAC018,DIS001_Y,DIS001_Z,EQK_TJAX,EQK_TJAY,EQK_TJBX,EQK_TJBY,EQK_TJBZ,EQK_TJCX,EQK_TJCY,EQK_TJDX,EQK_TJGE,EQK_TJGN,EQK_TJGZ,EQK_TJHZ,EQK_TJPX,EQK_TJQY,EQK_TJQZ,EQK001_X,EQK001_Y,EQK001_Z,FBG001,FBG002,FBG003,FBG004,FBG005,FBG006,FBG007,FBG008,FBG009,FBG010,FBG011,FBG012,FBG013,FBG014,FBG015,FBG016,FBG017,FBG018,FBG019,FBG020,FBG021,FBG022,FBG023,FBG024,FBT001,FBT005,FBT006,FBT007,FBT009,FBT010,FBT011,FBT012,FBT013,FBT014,FBT015,FBT016,FBT017,FBT018,FBT019,FBT020,GNS001_X,GNS001_Y,GNS001_Z,GNS002_X,GNS002_Y,GNS002_Z,GNS003_X,GNS003_Y,GNS003_Z,WGT001_D,WGT001_S,WGT001_V,WGT002_D,WGT002_S,WGT002_V,WVR001_HDR,WVR001_HSP,WVR001_PDR,WVR001_PSP,WVR002_HDR,WVR002_HSP,WVR002_PDR,WVR002_PSP
2018-03-27 21:10:00,44.31676,29.96364,13.75635,974.9791,1007.617,713.3041,706.2448,349.606,380.3547,650.6503,680.1241,895.6933,865.3612,906.1746,912.6228,61.23337,869.8876,912.4558,657.7216,680.4635,690.4302,697.0635,716.3535,1094.257,1.224748,2.073719,5.433297,5.060229,4.920893,0.2346067,1.369744,23.38454,12.59006,1.379867,4.715989,3.127887,899.833,2.557298,2.661394,2.79331,2.284157,0.4291013,0.0,0.0,0.0,48.28223,523.3132,130.9309,688.0937,1250.429,1224.493,1022.196,260.4818,247.9014,1580.375,257.8854,217.0723,348.9078,248.1679,302.3053,90.3202,241.988,432.9488,767.1353,236.424,292.1862,1530.564,1527.45,1526.4,1524.783,1522.291,1521.358,1531.137,1529.514,1528.488,1527.005,1525.806,1524.945,1524.239,1523.314,1521.865,1520.793,2.820313,7.049669,8.517648,11.65908,12.7275,7.130313,19.51879,7.332189,7.150237,60.21637,60.24947,60.22963,0.384008,0.2414912,0.02208456,35.26291,60.22963,225.0157,85.18222,89.58977,53.57809,91.36448,0.3846426
2018-03-28 02:07:00,43.83354,28.86626,10.62383,974.8529,1006.119,712.9846,707.368,348.9598,379.6798,650.5904,677.8169,891.4576,863.6702,905.9234,912.4096,61.24837,873.8615,912.4709,657.4662,680.4385,690.0159,696.7492,716.5419,1094.419,0.6186627,0.7467963,5.101352,4.868142,4.122915,0.339457,0.4619613,23.43355,11.38503,2.041133,4.370822,4.697053,899.3855,3.027548,5.947849,3.095549,1.145667,0.614893,0.0,0.0,0.0,60.31301,442.4562,19.13184,922.0483,1293.275,1254.397,1236.667,172.4648,149.3388,1497.916,171.4423,139.5934,245.7961,137.2118,198.0586,10.98122,144.4059,310.2416,833.7155,159.6293,225.7646,1530.564,1527.351,1526.366,1524.7,1522.208,1521.322,1531.099,1529.449,1528.447,1526.922,1525.768,1524.864,1524.195,1523.286,1521.814,1520.77,1.694108,0.9479803,10.14991,1.100757,6.864826,6.71775,15.01607,8.669621,3.877472,60.21637,60.24947,60.22963,1.217957,1.672996,0.124553,35.26291,60.22963,225.0157,85.18222,88.74555,53.59123,274.4694,1.224309
2018-03-28 02:49:00,43.79685,28.74138,10.29662,974.8617,1005.962,712.9941,707.8056,348.8133,379.364,650.5159,674.8845,891.1261,862.0603,905.4403,912.5211,61.23447,870.4466,911.6198,657.3235,680.3213,689.8599,696.6538,715.0461,1093.15,0.7255529,0.5458861,5.082595,4.859533,4.064768,0.3209206,0.2716004,23.44105,11.27339,2.082592,4.336873,4.827397,899.2605,3.041638,6.159297,3.171397,0.8499091,0.6503121,0.0,0.0,0.0,75.83024,429.7151,2.202456,966.4406,1285.016,1234.231,1231.407,193.1735,137.4303,1502.018,169.9292,143.396,237.104,120.4585,186.8098,23.25716,132.2212,297.2304,839.1833,152.5859,218.1483,1530.564,1527.341,1526.359,1524.691,1522.199,1521.315,1531.093,1529.443,1528.439,1526.913,1525.764,1524.856,1524.19,1523.282,1521.808,1520.767,1.272137,2.032937,8.621888,2.686386,2.29056,5.795541,13.01198,11.044,13.2434,60.21637,60.24947,60.22963,0.3205004,0.5181173,0.1023046,35.26291,60.22963,225.0157,85.18222,89.65396,53.48688,281.7653,0.3364324
2018-03-28 10:39:00,43.09629,28.84675,9.136714,974.7519,1006.05,712.6902,705.7686,350.0717,380.8551,651.7053,680.5935,899.3896,867.9045,906.1002,915.0261,61.35249,870.3468,914.4329,657.6684,680.7138,690.7198,697.5786,713.7752,1091.819,2.737176,0.4476418,5.089718,4.758326,4.757996,0.4926597,0.3845181,23.40393,13.48595,2.505288,5.595915,5.256215,900.1976,2.804073,6.795691,3.637113,0.1348994,0.8001207,0.0,0.0,0.0,36.19375,465.6883,37.95596,862.8158,1312.589,1251.238,1212.209,194.6448,184.8485,1527.221,187.5079,167.1687,281.2965,159.1398,230.7739,21.63115,181.0648,343.8969,854.4422,211.9098,185.2333,1530.564,1527.341,1526.362,1524.688,1522.197,1521.321,1531.093,1529.449,1528.446,1526.908,1525.762,1524.854,1524.189,1523.249,1521.807,1520.743,8.008485,1.617972,6.674874,3.277067,7.458128,5.142975,23.35055,16.56345,31.36011,60.21637,60.24947,60.22963,1.021057,2.917464,0.2425266,35.26291,60.22963,225.0157,85.18222,88.95055,53.39821,275.2941,1.049465
2018-03-28 10:53:00,43.09567,28.93129,9.347681,974.7048,1006.132,712.735,705.6204,350.2123,381.1338,654.5088,680.299,895.4818,867.9601,905.8846,913.3283,61.32668,870.2367,912.6506,657.4591,680.7842,691.1356,697.6121,714.2157,1092.165,3.08498,0.3357185,5.106378,4.761474,4.84296,0.5260422,0.3368505,23.4036,13.68146,2.407825,5.673403,5.187304,900.2142,2.745427,6.464355,3.607311,0.1813947,0.7900062,0.0,0.0,0.0,27.38491,473.8019,48.66831,844.7085,1306.334,1250.237,1260.504,207.8987,192.8837,1533.426,194.6799,173.3433,285.208,171.3114,234.5095,30.25701,191.708,355.8203,848.7029,217.7411,193.1994,1530.564,1527.349,1526.364,1524.695,1522.203,1521.325,1531.098,1529.455,1528.452,1526.914,1525.765,1524.86,1524.193,1523.251,1521.812,1520.745,9.582276,5.678248,12.90592,3.577476,7.572494,5.100399,19.57386,14.5866,24.77487,60.21637,60.24947,60.22963,0.873361,4.022455,0.2330878,35.26291,60.22963,225.0157,85.18222,89.08371,53.42894,272.4259,0.9039299
2018-03-28 11:15:00,43.16321,29.07723,9.709013,974.7445,1006.37,712.8161,705.5034,350.5099,381.2861,652.6396,680.6798,891.781,867.5287,906.3356,913.7511,61.36052,870.8344,912.085,656.5631,681.1626,691.123,697.7174,714.7771,1092.634,2.224573,0.4106414,5.186078,4.77652,5.110381,0.4657724,0.2915664,23.40336,13.80938,2.301024,5.75746,5.401895,900.4023,2.685948,6.345559,3.555049,0.4349577,0.7600836,0.0,0.0,0.0,14.32809,486.1289,62.75064,815.2398,1308.845,1231.352,1132.159,206.859,204.9467,1542.681,205.7767,184.1353,293.5755,182.4978,243.1012,45.8851,209.4116,376.5205,838.6457,219.4373,204.5391,1530.564,1527.365,1526.369,1524.707,1522.213,1521.33,1531.104,1529.465,1528.46,1526.925,1525.77,1524.872,1524.201,1523.255,1521.818,1520.748,9.332069,8.558728,8.971819,6.02564,6.502166,7.72396,19.63543,14.94534,36.00024,60.21637,60.24947,60.22963,0.5564687,1.95682,0.2861,35.26291,60.22963,225.0157,85.18222,89.44943,53.46811,174.4284,0.6257081
2018-03-28 11:30:00,43.18678,29.18192,9.931549,974.7573,1006.547,712.8379,705.5088,350.5295,381.3949,651.2456,680.5756,891.8545,867.5433,906.2965,913.326,61.36434,870.2433,909.03,657.0057,680.9667,691.2663,697.7301,715.3191,1093.083,1.840038,0.4006477,5.285486,4.81504,5.532993,0.4392774,0.2562861,23.4028,13.87883,2.263291,5.735058,4.672808,900.2653,2.613763,5.548348,3.51677,0.5962621,0.7312899,0.0,0.0,0.0,4.157724,494.7659,72.48168,786.8709,1308.831,1221.28,1078.099,194.4882,212.3656,1549.504,214.6992,191.0765,300.1298,194.9431,249.7777,55.96087,220.9634,390.3528,832.1092,217.8872,211.9097,1530.564,1527.377,1526.371,1524.716,1522.222,1521.333,1531.109,1529.473,1528.465,1526.934,1525.774,1524.88,1524.206,1523.258,1521.821,1520.751,7.682285,10.68135,3.538698,9.251081,4.0174,4.388807,24.4255,15.36917,25.84235,60.21637,60.24947,60.22963,0.6765355,2.347574,0.2817224,35.26291,60.22963,225.0157,85.18222,89.32243,53.50592,228.2151,0.7328491
2018-03-28 12:59:00,43.67792,29.88711,11.66218,974.8514,1007.575,713.4471,705.008,351.4397,382.624,651.4595,680.8922,893.0313,869.6748,906.8321,914.0723,61.44167,870.004,909.8552,659.6042,681.3116,692.3825,697.5527,719.0158,1096.173,1.510202,0.9032772,6.691855,5.412416,8.676903,0.5653126,0.06353655,23.40255,15.25766,1.57251,5.695786,4.592839,901.1145,2.485457,4.707376,3.201915,1.810502,0.5418573,0.0,0.0,0.0,52.03677,545.0866,135.0691,702.5414,1258.107,1266.841,1018.83,125.3864,269.5202,1601.064,268.4154,242.1982,352.0283,262.5203,303.3103,107.0126,280.2198,462.1093,807.9594,259.9693,247.2348,1530.564,1527.449,1526.391,1524.773,1522.282,1521.355,1531.136,1529.522,1528.496,1526.995,1525.797,1524.937,1524.235,1523.276,1521.856,1520.766,5.662597,8.9838,3.707795,15.75823,4.223861,3.184378,23.62142,11.91804,34.94004,60.21637,60.24947,60.22963,0.3956534,1.138215,0.1755618,35.26291,60.22963,225.0157,85.18222,89.57613,53.76384,106.765,0.4328551
2018-03-29 03:32:00,44.17835,29.32755,11.84196,974.8817,1006.915,712.9395,706.5686,349.779,380.5859,650.8715,674.4983,888.6655,865.8471,906.183,912.8401,61.25859,870.0284,912.7979,657.7385,680.6247,690.628,697.1526,723.754,1100.099,0.1106856,1.184397,5.700849,5.099287,4.92014,0.1484641,1.200641,23.45906,12.1608,1.581365,4.741403,4.533422,899.8671,2.837378,4.949454,2.745267,2.252284,0.4899716,0.0,0.0,0.0,39.85589,461.2301,42.84581,828.5781,1299.256,1242.325,1210.626,194.7752,171.5921,1510.169,182.3291,155.09,254.4026,154.5501,211.9314,1.774678,161.6476,326.4927,834.8793,176.9301,231.5487,1530.564,1527.372,1526.388,1524.716,1522.225,1521.346,1531.127,1529.466,1528.478,1526.937,1525.788,1524.879,1524.221,1523.304,1521.833,1520.787,1.410378,2.647105,18.2384,5.11224,4.213055,8.351645,18.26299,10.15956,13.61828,60.21637,60.24947,60.22963,0.8821751,1.476583,0.1990599,35.26291,60.22963,225.0157,85.18222,89.07009,54.0944,281.2524,0.9043549
2018-03-29 04:25:00,44.16589,29.28312,11.70991,974.8765,1006.843,712.8911,706.7395,349.7556,380.5407,650.8497,675.4595,888.6684,865.7621,906.1977,912.8032,61.25964,870.0019,912.8892,657.7471,680.5794,690.6523,697.115,724.0843,1100.367,0.1245263,1.092695,5.691512,5.086946,4.903739,0.16117,1.060261,23.46636,12.12447,1.619709,4.733639,4.608232,899.847,2.873132,5.138777,2.771313,2.173922,0.4973064,0.0,0.0,0.0,47.39263,455.1365,34.32538,853.9894,1297.676,1240.611,1082.423,181.1732,165.2082,1515.327,187.9115,165.6274,246.9677,147.8336,204.9174,7.893014,155.2616,319.0851,840.0379,173.8091,225.6261,1530.564,1527.366,1526.385,1524.711,1522.22,1521.343,1531.124,1529.463,1528.475,1526.932,1525.785,1524.874,1524.218,1523.301,1521.828,1520.785,1.170826,2.752181,10.35407,3.848268,4.857726,9.942747,16.1483,10.94523,15.12959,60.21637,60.24947,60.22963,0.4382898,0.7546397,0.1313255,35.26291,60.22963,225.0157,85.18222,89.57092,54.11745,284.2207,0.4575416
